gross_income,employee_payroll_tax,employer_payroll_tax,ordinary_income_after_401k,agi,taxable_income,deduction_type,deductions,personal_exemption_amt,pease_limitation_amt,income_tax_before_credits,qualified_income_tax,selected_tax_before_credits,amt,income_tax_before_credits_with_amt,ctc,actc,eitc,personal_credit,income_tax_after_nonrefundable_credits,income_tax_after_credits,tax_burden,tax_wedge,avg_effective_tax_rate,avg_effective_tax_rate_wo_payroll
200.0,7.65,7.65,100.0,200.0,0.0,standard,12200.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,7.647058823529412,300,0.0,-7.65,0.0,7.65,0.0,-0.0382
400.0,15.3,15.3,200.0,400.0,0.0,standard,12200.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,15.294117647058824,300,0.0,-15.29,0.01,15.31,0.0,-0.0382
600.0,22.950000000000003,22.950000000000003,300.0,600.0,0.0,standard,12200.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,22.941176470588236,300,0.0,-22.94,0.01,22.96,0.0,-0.0382
800.0,30.6,30.6,400.0,800.0,0.0,standard,12200.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,30.58823529411765,300,0.0,-30.59,0.01,30.61,0.0,-0.0382
1000.0,38.25,38.25,500.0,1000.0,0.0,standard,12200.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,38.235294117647065,300,0.0,-38.24,0.01,38.26,0.0,-0.0382
1200.0,45.900000000000006,45.900000000000006,600.0,1200.0,0.0,standard,12200.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,45.88235294117647,300,0.0,-45.88,0.02,45.92,0.0,-0.0382
1400.0,53.55,53.55,700.0,1400.0,0.0,standard,12200.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,53.529411764705884,300,0.0,-53.53,0.02,53.57,0.0,-0.0382
1600.0,61.2,61.2,800.0,1600.0,0.0,standard,12200.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,61.1764705882353,300,0.0,-61.18,0.02,61.22,0.0,-0.0382
1800.0,68.85,68.85,900.0,1800.0,0.0,standard,12200.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,68.82352941176471,300,0.0,-68.82,0.03,68.88,0.0,-0.0382
2000.0,76.5,76.5,1000.0,2000.0,0.0,standard,12200.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,76.47058823529413,300,0.0,-76.47,0.03,76.53,0.0,-0.0382
