,gross_income,employee_payroll_tax,employer_payroll_tax,ordinary_income_after_401k,agi,taxable_income,deduction_type,deductions,personal_exemption_amt,pease_limitation_amt,income_tax_before_credits,qualified_income_tax,selected_tax_before_credits,amt,income_tax_before_credits_with_amt,ctc,actc,eitc,income_tax_after_nonrefundable_credits,income_tax_after_credits,tax_burden,tax_wedge,avg_effective_tax_rate,avg_effective_tax_rate_wo_payroll
0,100,7.65,7.65,100,100,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,7.647058823529412,0.0,-7.65,0.0,7.65,0.0,-0.0765
1,200,15.3,15.3,200,200,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,15.294117647058824,0.0,-15.29,0.01,15.31,0.0001,-0.0764
2,300,22.950000000000003,22.950000000000003,300,300,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,22.941176470588236,0.0,-22.94,0.01,22.96,0.0,-0.0765
3,400,30.6,30.6,400,400,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,30.58823529411765,0.0,-30.59,0.01,30.61,0.0,-0.0765
4,500,38.25,38.25,500,500,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,38.235294117647065,0.0,-38.24,0.01,38.26,0.0,-0.0765
5,600,45.900000000000006,45.900000000000006,600,600,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,45.88235294117647,0.0,-45.88,0.02,45.92,0.0,-0.0765
6,700,53.55,53.55,700,700,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,53.529411764705884,0.0,-53.53,0.02,53.57,0.0,-0.0765
7,800,61.2,61.2,800,800,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,61.1764705882353,0.0,-61.18,0.02,61.22,0.0,-0.0765
8,900,68.85,68.85,900,900,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,68.82352941176471,0.0,-68.82,0.03,68.88,0.0,-0.0765
9,1000,76.5,76.5,1000,1000,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,76.47058823529413,0.0,-76.47,0.03,76.53,0.0,-0.0765
10,1100,84.15,84.15,1100,1100,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,84.11764705882354,0.0,-84.12,0.03,84.18,0.0,-0.0765
11,1200,91.80000000000001,91.80000000000001,1200,1200,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,91.76470588235294,0.0,-91.76,0.04,91.84,0.0,-0.0765
12,1300,99.44999999999999,99.44999999999999,1300,1300,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,99.41176470588236,0.0,-99.41,0.04,99.49,0.0,-0.0765
13,1400,107.1,107.1,1400,1400,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,107.05882352941177,0.0,-107.06,0.04,107.14,0.0,-0.0765
14,1500,114.75,114.75,1500,1500,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,114.70588235294119,0.0,-114.71,0.04,114.79,0.0,-0.0765
15,1600,122.4,122.4,1600,1600,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,122.3529411764706,0.0,-122.35,0.05,122.45,0.0,-0.0765
16,1700,130.05,130.05,1700,1700,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,130.0,0.0,-130.0,0.05,130.1,0.0,-0.0765
17,1800,137.7,137.7,1800,1800,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,137.64705882352942,0.0,-137.65,0.05,137.75,0.0,-0.0765
18,1900,145.35,145.35,1900,1900,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,145.29411764705884,0.0,-145.29,0.06,145.41,0.0,-0.0765
19,2000,153.0,153.0,2000,2000,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,152.94117647058826,0.0,-152.94,0.06,153.06,0.0,-0.0765
20,2100,160.64999999999998,160.64999999999998,2100,2100,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,160.58823529411765,0.0,-160.59,0.06,160.71,0.0,-0.0765
21,2200,168.3,168.3,2200,2200,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,168.23529411764707,0.0,-168.24,0.06,168.36,0.0,-0.0765
22,2300,175.95,175.95,2300,2300,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,175.8823529411765,0.0,-175.88,0.07,176.02,0.0,-0.0765
23,2400,183.60000000000002,183.60000000000002,2400,2400,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,183.52941176470588,0.0,-183.53,0.07,183.67,0.0,-0.0765
24,2500,191.25,191.25,2500,2500,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,191.1764705882353,0.0,-191.18,0.07,191.32,0.0,-0.0765
25,2600,198.89999999999998,198.89999999999998,2600,2600,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,198.82352941176472,0.0,-198.82,0.08,198.98,0.0,-0.0765
26,2700,206.55,206.55,2700,2700,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,206.47058823529414,0.0,-206.47,0.08,206.63,0.0,-0.0765
27,2800,214.2,214.2,2800,2800,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,214.11764705882354,0.0,-214.12,0.08,214.28,0.0,-0.0765
28,2900,221.85000000000002,221.85000000000002,2900,2900,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,221.76470588235296,0.0,-221.76,0.09,221.94,0.0,-0.0765
29,3000,229.5,229.5,3000,3000,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,229.41176470588238,0.0,-229.41,0.09,229.59,0.0,-0.0765
30,3100,237.14999999999998,237.14999999999998,3100,3100,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,237.0588235294118,0.0,-237.06,0.09,237.24,0.0,-0.0765
31,3200,244.8,244.8,3200,3200,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,244.7058823529412,0.0,-244.71,0.09,244.89,0.0,-0.0765
32,3300,252.45,252.45,3300,3300,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,252.3529411764706,0.0,-252.35,0.1,252.55,0.0,-0.0765
33,3400,260.1,260.1,3400,3400,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,260.0,0.0,-260.0,0.1,260.2,0.0,-0.0765
34,3500,267.75,267.75,3500,3500,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,267.64705882352945,0.0,-267.65,0.1,267.85,0.0,-0.0765
35,3600,275.4,275.4,3600,3600,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,275.29411764705884,0.0,-275.29,0.11,275.51,0.0,-0.0765
36,3700,283.05,283.05,3700,3700,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,282.94117647058823,0.0,-282.94,0.11,283.16,0.0,-0.0765
37,3800,290.7,290.7,3800,3800,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,290.5882352941177,0.0,-290.59,0.11,290.81,0.0,-0.0765
38,3900,298.35,298.35,3900,3900,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,298.2352941176471,0.0,-298.24,0.11,298.46,0.0,-0.0765
39,4000,306.0,306.0,4000,4000,0.0,standard,6500.0,4150.0,0,0.0,0.0,0.0,0,0.0,0,0,305.8823529411765,0.0,-305.88,0.12,306.12,0.0,-0.0765
