gross_income,employee_payroll_tax,employer_payroll_tax,ordinary_income_after_401k,agi_before_business_income_deduction,agi,taxable_income,deduction_type,deductions,personal_exemption_amt,pease_limitation_amt,income_tax_before_credits,qualified_income_tax,selected_tax_before_credits,amt,income_tax_before_credits_with_amt,ctc,actc,eitc,income_tax_after_nonrefundable_credits,income_tax_after_credits,tax_burden,tax_wedge,avg_effective_tax_rate,avg_effective_tax_rate_wo_payroll
30000,2295.0,2295.0,27400,27400,27400.0,15400.0,standard,12000.0,0.0,0,1657.5,1657.5,1657.5,0,1657.5,0,0,0,1657.5,1657.5,3952.5,6247.5,0.1318,0.0553
52000,3978.0,3978.0,50500,50500,50500.0,32500.0,standard,18000.0,0.0,0,3628.0,3628.0,3628.0,0,3628.0,1300.0,2000.0,0,2328.0,328.0,4306.0,8284.0,0.0828,0.0063
85000,6502.5,6502.5,79500,79500,79500.0,55500.0,standard,24000.0,0.0,0,6279.0,6279.0,6279.0,0,6279.0,1300.0,2000.0,0,4979.0,2979.0,9481.5,15984.0,0.1115,0.035
165000,12622.5,12622.5,145000,145000,145000.0,121000.0,standard,24000.0,0.0,0,18742.0,18742.0,18742.0,0,18742.0,1300.0,2000.0,0,17442.0,15442.0,28064.5,40687.0,0.1701,0.0936
325000,18016.9,17341.9,288000,288000,288000.0,264000.0,standard,24000.0,0.0,0,54492.0,54492.0,54492.0,6029.5,60521.5,1300.0,2000.0,0,59221.5,57221.5,75238.4,92580.3,0.2315,0.1761
2000000,52729.4,36979.4,1981500,1981500,1981500.0,1931500.0,itemized,50000,0,0,665619.5,665619.5,665619.5,0,665619.5,0,0,0,665619.5,665619.5,718348.9,755328.3,0.3592,0.3328
1000000,24529.4,19579.4,781500,781500,946500.0,921500.0,itemized,25000,0,0,279517.0,279517.0,279517.0,0,279517.0,1300.0,2000.0,0,278217.0,276217.0,300746.4,320325.8,0.3007,0.2762
48000,2386.8,2386.8,31200,31200,35000.0,8400.0,standard,26600.0,0.0,0,840.0,840.0,840.0,0,840.0,0,0,0,840.0,840.0,3226.8,5613.6,0.0672,0.0175
325000,13366.9,12691.9,325000,325000,325000.0,301000.0,standard,24000.0,0,0,64567.0,64567.0,64567.0,7979.5,72546.5,1300.0,2000.0,0,71246.5,69246.5,82613.4,95305.3,0.2542,0.2131
25000,1912.5,1912.5,24500,24500,24500.0,500.0,standard,24000.0,0.0,0,50.0,50.0,50.0,0,50.0,1300.0,2000.0,5601.637767482903,0,-7601.64,-5689.14,-3776.64,-0.2276,-0.3041
1460000,44258.8,34808.8,1263000,1263000,1405500.0,1381500.0,standard,24000.0,0,0,453869.5,442769.5,442769.5,0,442769.5,0,0,0,442769.5,442769.5,487028.3,521837.1,0.3336,0.3033
160000,0.0,0.0,-37000,-37000,105500.0,81500.0,standard,24000.0,0.0,0,9829.5,2814.0,2814.0,2204.0,5018.0,0,0,0.0,5018.0,5018.0,5018.0,5018.0,0.0314,0.0314
47184,765.0,765.0,10000,10000,15000.0,0,standard,26600.0,0.0,0,0,0.0,0,0,0,0,0,520.0,0,-520.0,245.0,1010.0,0.0052,-0.011
200,7.65,7.65,100,100,200.0,0,standard,12000.0,0.0,0,0,0.0,0,0,0,0,0,7.647058823529412,0,-7.65,0.0,7.65,0.0,-0.0382
20000,765.0,765.0,10000,10000,20000.0,8000.0,standard,12000.0,0.0,0,800.0,0.0,0.0,0,0.0,0,0,406.05882352941177,0,-406.06,358.94,1123.94,0.0179,-0.0203
2000,153.0,153.0,2000,2000,2000.0,0,standard,18000.0,0.0,0,0,0.0,0,0,0,3300.0,0,800.0,0,-800.0,-647.0,-494.0,-0.3235,-0.4
